"","Estimate","Std. Error","2.5 %","97.5 %","Pr(>|t|)","pAdj_bonf","pAdj_fdr"
"tv_time",-2.91814724018484,4.82974768024808,-12.3906659733513,6.5543714929816,0.545785151317908,1,0.790974641584544
"video_time",-6.14787961498268,4.90210511302927,-15.7623120013834,3.46655277141801,0.209957863540165,1,0.566551891321599
"videogames_time",-11.8548846543298,4.95692919270471,-21.5768427659103,-2.1329265427493,0.0168784998231154,1,0.382579329323948
"social_activities_time",-2.7838596084004,5.7312651126724,-14.0245122757348,8.45679305893397,0.627216384547742,1,0.844568597014781
"tv_time.1",-4.00393228462219,3.45252583828719,-10.77530924476,2.76744467551563,0.246320200335102,1,0.608207007793356
"video_time.1",3.15933178142913,3.48574025613283,-3.67718802029156,9.99585158314983,0.364867149580116,1,0.664845787392038
"videogames_time.1",-6.37901301150304,3.52646084337384,-13.2953973701198,0.537371347113743,0.0706333221460356,1,0.455953822830178
"social_activities_time.1",-3.49694654266122,4.06504598395625,-11.4696482708887,4.47575518556621,0.389767002119839,1,0.675265124691695
"tv_time.2",6.35260847773303,10.2367750430647,-13.7246776544526,26.4298946099186,0.534963320953376,1,0.782311953222142
"video_time.2",-3.79587655645217,10.3541783947139,-24.1034247266354,16.5116716137311,0.713958232173472,1,0.91172131056894
"videogames_time.2",8.64429932975622,10.4478813050671,-11.8470274361922,29.1356260957047,0.408135722706944,1,0.683630281542441
"social_activities_time.2",-32.4088543770999,12.140622493688,-56.2201377747713,-8.59757097942844,0.00766610300318788,1,0.297882859552443
"tv_time.3",-9.54554217620063,5.69019139906445,-20.7056124387057,1.61452808630448,0.0936098146755697,1,0.461265315792292
"video_time.3",-18.1131263667831,5.71219344921063,-29.3163488553435,-6.90990387822265,0.00154494323057685,0.420224558716903,0.286727058312933
"videogames_time.3",7.43852721704137,5.77126578194429,-3.88055277746977,18.7576072115525,0.197601830217221,1,0.566551891321599
"social_activities_time.3",-7.18676958421718,6.72924945570552,-20.3847257640296,6.01118659559519,0.28566825516655,1,0.647514711710846
"tv_time.4",-5.30189598990432,2.102833015814,-9.42615857132199,-1.17763340848666,0.0117779628565779,1,0.382579329323948
"video_time.4",-2.06803422484575,2.11991811969323,-6.22580562702989,2.08973717733838,0.329431315808763,1,0.654053415328346
"videogames_time.4",-0.375689430837026,2.1596478957849,-4.61138239296944,3.86000353129538,0.861917608454243,1,0.949156232791717
"social_activities_time.4",-3.1157401911337,2.46863127691835,-7.95743875975281,1.72595837748541,0.20706528709489,1,0.566551891321599
"tv_time.5",-9.62307655408668,9.33571745687709,-27.933106582592,8.68695347441865,0.302782732730286,1,0.654053415328346
"video_time.5",-9.48833843328404,9.34772032112144,-27.8219095346375,8.84523266806943,0.310222260706738,1,0.654053415328346
"videogames_time.5",0.712401977185035,9.50574483044536,-17.9311006880066,19.3559046423766,0.940267340668867,1,0.963826364914714
"social_activities_time.5",-15.1649483158371,11.0705655682145,-36.8775150170953,6.54761838542106,0.170907103863927,1,0.534330255758485
"tv_time.6",-5.44761541060618,17.0494387504856,-38.8865244626715,27.9912936414591,0.74937047945592,1,0.923632794866393
"video_time.6",12.1980995669307,17.2194588804773,-21.5742684187111,45.9704675525726,0.478795132979748,1,0.723512645391619
"videogames_time.6",12.4946551810928,17.3879341807209,-21.6081418776001,46.5974522397857,0.472492391957896,1,0.719655441876891
"social_activities_time.6",-32.6007138854065,20.1890675514131,-72.1973483305421,6.99592055972906,0.106536708380054,1,0.465537150894127
"tv_time.7",-9.90563889918698,11.0822061178239,-31.6410524653486,11.8297746669746,0.371531469424963,1,0.664845787392038
"video_time.7",-21.1555126472887,11.2105451990975,-43.1426362952269,0.831611000649644,0.0593073539345637,1,0.435989196491928
"videogames_time.7",-2.68560108406414,11.3082681535085,-24.8643877282007,19.4931855600724,0.812303806358549,1,0.937914117013264
"social_activities_time.7",-21.9391751243887,13.1321526581926,-47.6951271437897,3.81677689501239,0.0949663885454719,1,0.461265315792292
"tv_time.8",-5.10988788979712,3.84522638082842,-12.6514585613313,2.4316827817371,0.184052072591164,1,0.550133667525238
"video_time.8",-0.514369593932729,3.86798510597645,-8.1005765279647,7.07183734009924,0.89422303643017,1,0.94995708710029
"videogames_time.8",0.892460553764985,3.89501245273458,-6.74675461059036,8.53167571812033,0.818794606598373,1,0.937914117013264
"social_activities_time.8",0.965732750071637,4.56307445347367,-7.9837399368733,9.91520543701657,0.832411205645767,1,0.937914117013264
"tv_time.9",-21.1664075793833,17.1581848939685,-54.8183975032186,12.4855823444521,0.217511066390425,1,0.566551891321599
"video_time.9",-50.6384760202266,17.2276068291665,-84.4266217366597,-16.8503303037936,0.00333048414949509,0.905891688662663,0.286727058312933
"videogames_time.9",33.6364201185609,17.4696641439597,-0.626467557394612,67.8993077945164,0.0543339297760218,1,0.435989196491928
"social_activities_time.9",-23.3968662961855,20.4806948705885,-63.5652256930157,16.7714931006447,0.25344497275995,1,0.609715996821825
"tv_time.10",-14.7131250421478,7.77678160014628,-29.9656560169671,0.539405932671595,0.0586616879046622,1,0.435989196491928
"video_time.10",-8.5818071299938,7.85176026874731,-23.9813930851493,6.81777882516169,0.274550282475087,1,0.632861668078167
"videogames_time.10",0.886510947335573,7.93500814991718,-14.6763483195081,16.4493702141792,0.911056771012404,1,0.94995708710029
