"","Estimate","Std. Error","2.5 %","97.5 %","Pr(>|t|)","pAdj_bonf","pAdj_fdr"
"tv_time",6.04748645894106e-06,4.40806839285214e-05,-8.04073946184077e-05,9.25023675362898e-05,0.890894979690337,1,0.965432009863632
"video_time",-1.66523224404924e-05,4.45410431809637e-05,-0.000104010100226234,7.0705455345249e-05,0.708549180168044,1,0.960605536972639
"videogames_time",-0.000135468234221378,4.50291863260059e-05,-0.000223783400908385,-4.71530675343716e-05,0.00266235274164196,0.724159945726612,0.297387453984209
"social_activities_time",2.96379408826197e-05,5.18297644520783e-05,-7.20151126234795e-05,0.000131290994388719,0.567507133908864,1,0.941615271157322
"tv_time.1",-3.38701414769876e-05,3.31489687731063e-05,-9.88845947058774e-05,3.11443117519022e-05,0.307033779662585,1,0.804695782805077
"video_time.1",4.7569539932719e-05,3.33303041072442e-05,-1.78005628996545e-05,0.000112939642765093,0.153690925505481,1,0.66176715959074
"videogames_time.1",-6.8462681349061e-05,3.36930759690589e-05,-0.0001345442818574,-2.38108084072228e-06,0.042305039764946,1,0.410963243430904
"social_activities_time.1",8.12133674621846e-06,3.89629765675606e-05,-6.82960213637309e-05,8.45386948561678e-05,0.834911108682845,1,0.962006485980448
"tv_time.2",0.000130636742667043,8.33959499638354e-05,-3.29267279657052e-05,0.000294200213299792,0.117416518537678,1,0.622330082091993
"video_time.2",3.00602108389925e-05,8.39696470276074e-05,-0.000134628444924246,0.000194748866602231,0.720393675997449,1,0.960605536972639
"videogames_time.2",4.39798907525973e-05,8.48485684752255e-05,-0.000122432583043151,0.000210392364548346,0.604289269090368,1,0.950157324089246
"social_activities_time.2",-0.00023524266293342,9.78742493700465e-05,-0.000427202247535335,-4.32830783315058e-05,0.0163390756573894,1,0.358210639984696
"tv_time.3",-4.4462938571211e-05,5.37626511837946e-05,-0.000149907057320603,6.09811801781809e-05,0.408334305527131,1,0.841416144722574
"video_time.3",-0.000118911653465829,5.39028471284587e-05,-0.000224630737037674,-1.31925698939845e-05,0.0275079918864804,1,0.387851109950053
"videogames_time.3",4.19937340210693e-05,5.50749602802423e-05,-6.60242026698651e-05,0.000150011670712004,0.445872049201691,1,0.846427263324852
"social_activities_time.3",-8.83775120382618e-06,6.39479727610258e-05,-0.000134258233362433,0.00011658273095478,0.890096143954096,1,0.965432009863632
"tv_time.4",-4.60811118139388e-05,2.17769813298984e-05,-8.87918985002424e-05,-3.37032512763519e-06,0.0344776389146313,1,0.387851109950053
"video_time.4",-9.75016556320398e-06,2.19383377280271e-05,-5.2777417539005e-05,3.3277086412597e-05,0.656781468279586,1,0.955318499315761
"videogames_time.4",-4.80793222986828e-06,2.21821373402253e-05,-4.83133438308742e-05,3.86974793711377e-05,0.828429332303364,1,0.962006485980448
"social_activities_time.4",-8.9134820960384e-06,2.56088936001943e-05,-5.91397267375976e-05,4.13127625455208e-05,0.727834294243593,1,0.960605536972639
"tv_time.5",-1.22412040146563e-05,7.63609971609004e-05,-0.000162006267269615,0.000137523859240302,0.872657135868681,1,0.962006485980448
"video_time.5",-1.69679443860366e-05,7.81878968699142e-05,-0.000170316063921735,0.000136380175149662,0.828221160637514,1,0.962006485980448
"videogames_time.5",-2.9489096679061e-05,7.4623260136643e-05,-0.000175845976371277,0.000116867783013155,0.692761843140575,1,0.960605536972639
"social_activities_time.5",-1.79792119589678e-05,8.91562824148663e-05,-0.000192839373191597,0.000156880949273661,0.840205606495704,1,0.962006485980448
"tv_time.6",6.31070408753772e-05,0.000137325106293733,-0.00020622713502789,0.000332441216778644,0.645898718413155,1,0.955318499315761
"video_time.6",0.000295887443057654,0.000138232941799956,2.47727396563687e-05,0.00056700214645894,0.0324491039012086,1,0.387851109950053
"videogames_time.6",6.92209325051658e-05,0.000133559354473276,-0.000192727516996044,0.000331169382006376,0.60432800392441,1,0.950157324089246
"social_activities_time.6",-0.000145208669522445,0.000158774169804065,-0.000456610650799155,0.000166193311754264,0.360545159998595,1,0.821398438936918
"tv_time.7",2.059389005269e-06,9.1452403592098e-05,-0.000177305174552144,0.000181423952562682,0.982036704455049,1,0.996157203904593
"video_time.7",-0.000128656332732008,9.16539189397373e-05,-0.000308416126058784,5.1103460594768e-05,0.160575854900694,1,0.66176715959074
"videogames_time.7",-9.02023137571108e-05,9.31017343782892e-05,-0.000272801691108445,9.23970635942232e-05,0.332747034692842,1,0.807693725594429
"social_activities_time.7",-6.86761875212474e-05,0.000107236316820335,-0.000278997561356038,0.000141645186313544,0.52198203398681,1,0.921942293794886
"tv_time.8",-9.83533793471891e-06,3.34645443273249e-05,-7.54685772102585e-05,5.57979013408206e-05,0.768865578605719,1,0.962006485980448
"video_time.8",3.6115367519709e-05,3.40051778386446e-05,-3.05782037974608e-05,0.000102808938836879,0.288352578299002,1,0.800325523442129
"videogames_time.8",1.63398936778515e-05,3.44337753499314e-05,-5.11942760570358e-05,8.38740634127389e-05,0.635178608393482,1,0.954522549629985
"social_activities_time.8",6.58485396081053e-05,3.96338180120363e-05,-1.18843539147605e-05,0.000143581433130971,0.0968018765234017,1,0.599333169055525
"tv_time.9",-2.17545817837665e-05,0.000150073045453803,-0.000316089932732898,0.000272580769165365,0.884758691795216,1,0.965432009863632
"video_time.9",-0.00029435113811372,0.000150607210752012,-0.000589734137093432,1.03186086599261e-06,0.0508048447247694,1,0.44577154081088
"videogames_time.9",0.000389178425055269,0.000151592905505839,9.1862202088403e-05,0.000686494648022134,0.0103305784823544,1,0.346547353985745
"social_activities_time.9",-2.72350050298711e-05,0.000176120376507272,-0.000372656480763956,0.000318186470704213,0.877123560746879,1,0.962006485980448
"tv_time.10",-8.00122521261906e-05,6.5329191518874e-05,-0.000208141607365771,4.811710311339e-05,0.220828435067763,1,0.749048403281215
"video_time.10",-1.97644120783944e-07,6.62404401974174e-05,-0.000130114220400915,0.000129718932159347,0.997619656940853,1,0.997619656940853
"videogames_time.10",-1.0335616953125e-05,6.33562998208594e-05,-0.000134595563504997,0.000113924329598747,0.870430688813146,1,0.962006485980448
"social_activities_time.10",1.66938867406114e-05,7.57770987371085e-05,-0.000131926822889733,0.000165314596370956,0.82566062834683,1,0.962006485980448
"tv_time.11",5.40516438817473e-05,9.62557256509777e-05,-0.000134732772101223,0.000242836059864717,0.574497778284207,1,0.941615271157322
"video_time.11",-0.00010609767353386,9.67894044330575e-05,-0.000295928782963024,8.37334358953029e-05,0.273150550189724,1,0.800325523442129
"videogames_time.11",3.35458374236271e-05,9.80147704601427e-05,-0.000158688557713728,0.000225780232560982,0.732200461597383,1,0.960605536972639
"social_activities_time.11",-5.11029742875095e-05,0.000114892230650621,-0.000276438792158805,0.000174232843583786,0.656524508745969,1,0.955318499315761
"tv_time.12",-3.95828992216479e-05,4.90291774055926e-05,-0.000135743233412997,5.65774349697014e-05,0.419581430344718,1,0.846427263324852
"video_time.12",-8.88348872636871e-06,4.96123856404582e-05,-0.000106187662193337,8.84206847405999e-05,0.857912482702033,1,0.962006485980448
"videogames_time.12",-7.7425030422673e-05,4.75557752872652e-05,-0.000170695598813456,1.58455379681097e-05,0.103681720724871,1,0.600030383769465
"social_activities_time.12",8.85819094949357e-05,5.73260914128789e-05,-2.38510620506462e-05,0.000201014881040518,0.122467475985805,1,0.622330082091993
"tv_time.13",0.000179206581117518,7.5096709942561e-05,3.19199757740394e-05,0.000326493186460997,0.0171203614698568,1,0.358210639984696
"video_time.13",-7.27942261070991e-06,7.57391334432952e-05,-0.000155826008274077,0.000141267163052658,0.923442575671828,1,0.973205697862746
"videogames_time.13",-0.000209064041621081,7.68385712121992e-05,-0.000359766946208302,-5.83611370338603e-05,0.00657513307602226,1,0.298072699446342
"social_activities_time.13",0.000145401159376733,8.87121781765297e-05,-2.85893601312552e-05,0.000319391678884721,0.101384826047346,1,0.600030383769465
"tv_time.14",3.19842683310789e-05,3.51063553263022e-05,-3.68692219997907e-05,0.000100837758661949,0.362381664236876,1,0.821398438936918
"video_time.14",3.67054822150785e-05,3.53797346152623e-05,-3.26841822088897e-05,0.000106095146639047,0.299655308851375,1,0.804695782805077
"videogames_time.14",-2.71670698544961e-05,3.57310114041513e-05,-9.72456873971352e-05,4.2911547688143e-05,0.447161781436846,1,0.846427263324852
"social_activities_time.14",6.31078478320456e-05,4.16097694569663e-05,-1.85006766742983e-05,0.000144716372338389,0.129528292140517,1,0.622330082091993
"tv_time.15",-6.79353423293689e-05,3.83931441987719e-05,-0.000143235409698035,7.36472503929734e-06,0.07698637019228,1,0.569341591478982
"video_time.15",1.77528561520984e-05,3.89222036251946e-05,-5.85848498701099e-05,9.40905621743066e-05,0.6483652584509,1,0.955318499315761
"videogames_time.15",1.32926128885285e-05,3.94302917514664e-05,-6.40416009981935e-05,9.06268267752505e-05,0.736068370773137,1,0.960605536972639
