"","Estimate","Std. Error","2.5 %","97.5 %","Pr(>|t|)","pAdj_bonf","pAdj_fdr"
"tv_time",6.63691404968394e-08,7.51441515707857e-08,-8.10103443409284e-08,2.13748625334607e-07,0.377233697589355,1,0.51822002901164
"video_time",8.88028293022828e-08,7.56845435460574e-08,-5.96365209975494e-08,2.37242179602115e-07,0.240820213877092,1,0.416378564531881
"videogames_time",-1.02314539890602e-07,7.6538802831732e-08,-2.5242934051902e-07,4.78002607378167e-08,0.181468600282189,1,0.376789765471416
"social_activities_time",1.15174689628901e-07,8.89539473673829e-08,-5.92898117759913e-08,2.89639191033794e-07,0.195567395046443,1,0.383062916072563
"tv_time.1",3.7111617394055e-08,8.03118441270448e-08,-1.20403271563296e-07,1.94626506351406e-07,0.644070136017922,1,0.7007483079875
"video_time.1",6.22791229569413e-08,8.12707259706696e-08,-9.71164122333974e-08,2.2167465814728e-07,0.443588922887952,1,0.548437213752377
"videogames_time.1",-2.88109999274496e-09,8.20051167532151e-08,-1.637169891411e-07,1.5795478915561e-07,0.97197746856864,1,0.983583889939718
"social_activities_time.1",2.09509764019097e-07,9.52485164244014e-08,2.26997156256269e-08,3.96319812412567e-07,0.0279619546281478,1,0.310373407580147
"tv_time.2",1.3272513303241e-07,7.05680502469719e-08,-5.67939407251942e-09,2.71129660137339e-07,0.0601600917334178,1,0.310373407580147
"video_time.2",8.83106236966633e-08,7.1539489666283e-08,-5.19991794215649e-08,2.28620426814891e-07,0.217204242121656,1,0.39956530987538
"videogames_time.2",-6.62171381977705e-08,7.21493812558379e-08,-2.07723116592802e-07,7.52888401972607e-08,0.358858712752092,1,0.50187363558822
"social_activities_time.2",1.20198800344681e-07,8.3694248249499e-08,-4.39500291870167e-08,2.84347629876378e-07,0.151130155501041,1,0.360591248213009
"tv_time.3",1.08885829461344e-07,6.48024643113319e-08,-1.82101281909136e-08,2.35981787113602e-07,0.093077732113464,1,0.310373407580147
"video_time.3",1.10676556061205e-07,6.52911755085668e-08,-1.73779024488215e-08,2.38731014571232e-07,0.0902250959429951,1,0.310373407580147
"videogames_time.3",-5.17582706605395e-08,6.58421538044316e-08,-1.80893353416924e-07,7.73768120958448e-08,0.431914566397694,1,0.541386000277294
"social_activities_time.3",1.40806973264411e-07,7.68809157157866e-08,-9.97824319180489e-09,2.91592189720628e-07,0.0671919583928078,1,0.310373407580147
"tv_time.4",5.4870138652662e-08,1.04830108503441e-07,-1.50732199082055e-07,2.60472476387379e-07,0.600747078998211,1,0.666050735674599
"video_time.4",2.28040235085748e-08,1.05923728399878e-07,-1.8494322097584e-07,2.3055126799299e-07,0.829567943761837,1,0.864530577406972
"videogames_time.4",-7.8543333596729e-08,1.06912014367157e-07,-2.88228894354244e-07,1.31142227160786e-07,0.462646555260229,1,0.559288280136811
"social_activities_time.4",1.74453369501922e-07,1.24041447349489e-07,-6.88279922665404e-08,4.17734731270384e-07,0.159775517158328,1,0.372414019788784
"tv_time.5",7.898340271783e-08,7.10137517802725e-08,-6.02951696660067e-08,2.18261975101667e-07,0.266189970164107,1,0.433521579837657
"video_time.5",1.19978164003624e-07,7.1828193089876e-08,-2.08977641042564e-08,2.60854092111504e-07,0.0950251238033342,1,0.310373407580147
"videogames_time.5",-1.27595579000914e-07,7.24782215596739e-08,-2.69746401548429e-07,1.45552435466012e-08,0.0784992693247221,1,0.310373407580147
"social_activities_time.5",1.299422298659e-07,8.42209727768564e-08,-3.52395350608922e-08,2.95123994792692e-07,0.12303845272125,1,0.340671786412588
"tv_time.6",4.16929119883624e-08,6.95619313404937e-08,-9.47381677146973e-08,1.78123991691422e-07,0.549006039215998,1,0.633422280485062
"video_time.6",1.06825482971057e-07,7.00282237435778e-08,-3.05201310869891e-08,2.44171097029103e-07,0.127320147678545,1,0.340671786412588
"videogames_time.6",-3.23939753177718e-08,7.08200108037006e-08,-1.71292512956658e-07,1.06504562321115e-07,0.647429886976479,1,0.701597327719531
"social_activities_time.6",1.15897887498685e-07,8.2345748647881e-08,-4.56059577869807e-08,2.7740173278435e-07,0.159466209305547,1,0.372414019788784
"tv_time.7",3.78500665265657e-08,7.40788597592162e-08,-1.07440126917402e-07,1.83140259970534e-07,0.60945409401274,1,0.671139731058564
"video_time.7",1.32762431393325e-07,7.49633229961353e-08,-1.42624517475925e-08,2.79787314534242e-07,0.0767256447850727,1,0.310373407580147
"videogames_time.7",-1.32897577448625e-07,7.56407178733166e-08,-2.81251028997095e-07,1.54558740998449e-08,0.0790959879957105,1,0.310373407580147
"social_activities_time.7",1.90126258428542e-07,8.78563002402853e-08,1.78144963594136e-08,3.6243802049767e-07,0.0305917395251762,1,0.310373407580147
"tv_time.8",7.99752948642354e-08,6.63489370332519e-08,-5.01537817852051e-08,2.10104371513676e-07,0.228217411275762,1,0.407339822629347
"video_time.8",5.46098950686809e-08,6.6717036145698e-08,-7.62411283030422e-08,1.85460918440404e-07,0.413163031015153,1,0.529283289049238
"videogames_time.8",5.38815897937969e-08,6.73168703098843e-08,-7.81458784377621e-08,1.85909058025356e-07,0.423574727531305,1,0.535871283202395
