"Fitted values"	"Residuals"
1458686.97268409	-14546.9726840854
1461673.70596164	116296.294038355
1599670.1926398	-60430.1926397982
1602463.02239219	-21353.0223921865
1566049.07902445	84270.9209755545
1549351.71796156	147168.282038444
1477445.28842913	-27315.288429135
1466900.00071609	-67550.0007160865
1501694.81516883	45085.1848311694
1469007.61904142	27552.380958581
1515641.00465819	26728.9953418099
1522766.04395537	54723.9560446344
1523548.06956707	120361.930432928
1558827.90112537	95322.0988746257
1536297.42508242	204812.574917577
1527255.02099149	270354.979008515
1249919.41303302	101640.586966976
1265683.29808715	42186.7019128548
1444674.47025499	85115.5297450129
1446115.46171048	2004.53828951967
1464942.90019429	-36732.9001942853
1451796.59713311	4713.40286689003
1569924.21680347	-45024.21680347
1572659.42138439	96100.5786156107
1408457.54969108	163902.450308918
1414457.53891185	342322.461088154
1531014.49032193	-36304.4903219292
1535001.07732734	60348.922672656
1481131.66141082	179898.33858918
1484705.99851884	102824.001481162
1448542.50500238	68007.4949976152
1456742.22468297	72837.7753170349
1579156.50086052	103523.499139478
1577682.2690029	57317.7309970977
1311652.46765712	-321888.467657122
1307490.89657891	-303600.896578907
1380494.03240484	215385.967595161
1390085.43337623	261254.566623775
1600736.19554048	-23286.1955404837
1596938.80093973	37101.1990602715
1505050.47039758	-187790.470397578
1504176.03436359	-19406.0343635894
1412124.04687056	81435.9531294436
1417484.29937403	86395.7006259732
1434693.47605114	-41923.4760511397
1445476.87486428	7123.12513572108
1385377.86707997	-31377.8670799679
1393257.54613183	-11197.5461318254
1347654.35551485	-82804.3555148479
1345110.57100667	-28310.5710066709
1476022.06325901	-200652.063259013
1481802.2172161	127237.782783905
1424820.3310543	-97520.3310542958
1425135.67471762	-85925.6747176177
1581739.34067767	231090.659322331
1583173.75929436	230566.240705643
1482046.62722363	119753.372776365
1493815.59465875	128464.405341251
1447590.83125616	179029.168743839
1454425.9563882	163324.043611798
1631208.50300064	-11398.5030006434
1611791.23168113	67218.7683188702
1397575.46126521	97664.538734789
1382289.43935595	88180.5606440502
1465038.54157869	-332338.541578695
1442894.7275915	-109674.727591501
1311223.7140796	150566.285920405
1274848.58174798	218871.418252018
1388327.60968707	106372.390312933
1383863.10969748	145376.890302517
1494912.6204432	-59862.6204431987
1481399.1078236	21750.8921764021
1438613.14808682	-60813.1480868164
1440007.61946167	-54797.6194616739
1472177.24813497	-22897.2481349734
1485784.92008018	65985.079919819
1524055.54494961	-131515.544949608
1518118.83482556	-130098.834825558
1566004.27432516	-41154.2743251585
1576736.4633063	26433.5366937037
1472843.18115724	121496.818842759
1471760.39040011	125839.609599887
1441335.29734143	118904.702658571
1455463.21602533	184696.783974668
1463373.02394241	-166743.023942405
1442778.70688305	31741.2931169525
1481815.81899679	39544.1810032129
1462556.8700502	117593.129949796
1353580.47392727	96809.5260727333
1362796.68649042	77863.3135095755
1438682.4508572	91467.5491427963
1428738.49695667	-71208.4969566665
1471382.61806429	31697.3819357135
1466138.58170241	80781.418297592
1488009.71296618	120200.287033818
1489430.9328107	213679.067189298
1395317.55565742	-23407.5556574217
1389511.30739451	30138.6926054938
1600403.50793224	33416.4920677597
1591740.29222381	44269.7077761881
1576435.66069511	-78435.6606951058
1582882.14986952	-13382.1498695204
1573424.25351228	-112484.253512277
1563140.39210438	31229.6078956203
1396653.04169028	236776.958309719
1393768.27988203	112171.720117967
1620233.27655573	-54153.2765557342
1626908.21138724	-65438.2113872426
1428609.09590764	-21919.0959076446
1418553.68443817	91856.3155618284
1631081.36869361	-69551.3686936117
1621386.17370502	114223.826294977
1587740.86129303	-18630.8612930274
1588691.61977238	89448.3802276187
1596305.26345889	-194205.263458886
1602864.94309761	-123404.943097606
1475741.76386363	-68401.7638636256
1478187.74906257	-105387.749062571
1446926.43166531	9753.56833469438
1447138.39948637	-15698.3994863698
1489741.70281489	9438.29718511207
1487800.70932018	65659.2906798152
1556875.25776381	-95105.2577638084
1564066.48438497	-127196.484384969
1516315.89395494	-217085.893954942
1507050.24586552	-141210.245865518
1369283.84932155	-64773.8493215493
1374984.55209354	68055.4479064644
1390722.89859301	259297.101406989
1385641.20769589	215698.792304106
1454591.73155379	71588.2684462088
1472927.7431869	75752.2568130979
1522180.3690397	-6250.36903970118
1528881.85948793	87958.1405120738
