"","Estimate","Std. Error","2.5 %","97.5 %","Pr(>|t|)","pAdj_bonf","pAdj_fdr"
"tv_time",-0.00169989499285614,0.00344047259879971,-0.00844765494094205,0.00504786495522976,0.621304841868371,42.2487292470492,0.916900691403885
"video_time",-0.00420949976367868,0.00344447163611202,-0.0109651029783601,0.00254610345100272,0.221829333023252,15.0843946455811,0.713590702150925
"videogames_time",-0.00751801741845325,0.00350370809069281,-0.0143898004207099,-0.000646234416196639,0.0320283788794625,2.17792976380345,0.362988293967241
"social_activities_time",-0.00200638566499038,0.00408359533521873,-0.0100154949532878,0.006002723623307,0.623254485559097,42.3813050180186,0.916900691403885
"tv_time.1",-0.003302474154138,0.00427486157474376,-0.0116866803058732,0.00508173199759721,0.439899770644151,29.9131844038023,0.861444941592641
"video_time.1",-0.00292677681229485,0.0043294887307449,-0.0114181221846548,0.00556456856006507,0.499121170143131,33.9402395697329,0.893164199203498
"videogames_time.1",0.00157101361567972,0.00436315779022124,-0.00698636625408999,0.0101283934854494,0.718841885183969,48.8812481925099,0.970908715738523
"social_activities_time.1",0.00534366855154458,0.00504077374150457,-0.00454270682554847,0.0152300439286376,0.289246199175505,19.6687415439343,0.756724165060856
"tv_time.2",0.0036974049561177,0.00277942310952175,-0.00175381350993657,0.00914862342217197,0.18359451684532,12.4844271454818,0.703348008196157
"video_time.2",-0.00214401708034774,0.00281709581116454,-0.00766912214760274,0.00338108798690725,0.446712393199851,30.3764427375899,0.861743056385529
"videogames_time.2",-0.00445720821335785,0.00286106432329789,-0.0100685477097809,0.00115413128306525,0.119435607657849,8.12162132073373,0.636989907508528
"social_activities_time.2",-0.00411457306006534,0.00333481925197131,-0.0106550771758375,0.00242593105570684,0.217429635427024,14.7852152090376,0.713590702150925
"tv_time.3",0.00232084371112283,0.00334371096449715,-0.00423710681690942,0.00887879423915507,0.487713705875568,33.1645319995386,0.88649633010685
"video_time.3",0.00142360385297162,0.00336190814758609,-0.00517003643045931,0.00801724413640256,0.672016586604863,45.6971278891307,0.952023497690223
"videogames_time.3",-0.00598881390488756,0.00341913353952295,-0.0126946891551723,0.000717061345397217,0.0800195075376254,5.44132651255853,0.544132651255853
"social_activities_time.3",0.00268693927446617,0.00393647809386081,-0.00503359305273637,0.0104074716016687,0.494963386728904,33.6575102975655,0.891589676756701
"tv_time.4",-0.00264251974243142,0.0067114334730283,-0.0158055485248884,0.0105205090400256,0.693824101063623,47.1800388723264,0.967795669175926
"video_time.4",-0.00743033654205849,0.00684445285054235,-0.0208542541349133,0.00599358105079629,0.277801622785683,18.8905103494264,0.756724165060856
"videogames_time.4",-0.00571716824160933,0.00655506634755086,-0.0185735166432563,0.00713918016003766,0.383229095689412,26.05957850688,0.840631564738064
"social_activities_time.4",-0.000380477696125081,0.00778648176567629,-0.0156519817656465,0.0148910263733963,0.961033202595203,65.3502577764738,0.989108951344293
"tv_time.5",-0.000642426680735206,0.00260558071397882,-0.0057527207031301,0.00446786734165968,0.805278562543713,54.7589422529725,0.982558223448912
"video_time.5",0.000325416926164686,0.00262771629048495,-0.00482829133540332,0.00547912518773269,0.901455677883276,61.2989860960628,0.982558223448912
"videogames_time.5",-0.00964617004882954,0.00265767138370704,-0.0148586288733764,-0.00443371122428268,0.00029186893367126,0.0198470874896457,0.0282516034364772
"social_activities_time.5",-0.00225349163498058,0.00305782451804563,-0.00825076597473383,0.00374378270477266,0.461243633856904,31.3645671022695,0.863504954294808
"tv_time.6",-0.00314544086840833,0.00274533800850738,-0.0085298412162637,0.00223895947944703,0.252056134357155,17.1398171362865,0.753398555441166
"video_time.6",-0.000868701069413903,0.00275667662187959,-0.00627533971127763,0.00453793757244982,0.752702515237479,51.1837710361486,0.978121254312945
"videogames_time.6",-0.00207518046417618,0.00280098738634722,-0.00756872530661482,0.00341836437826246,0.45886653229887,31.2029241963231,0.863504954294808
"social_activities_time.6",-0.00200606324401865,0.00326228844654086,-0.00840435263203808,0.00439222614400078,0.538682219739998,36.6303909423198,0.899586704500909
"tv_time.7",-0.00499539944594377,0.00305628216589143,-0.0109896510485423,0.000998852156654754,0.102335984706656,6.9588469600526,0.618564174226897
"video_time.7",0.00172376526416441,0.00306890502024599,-0.0042952433997384,0.00774277392806722,0.57439926322165,39.0591498990722,0.899586704500909
"videogames_time.7",-0.0091416747809587,0.00311823453769695,-0.0152574328688302,-0.00302591669308718,0.00341404211435457,0.232154863776111,0.111938997906232
"social_activities_time.7",0.00279143114531144,0.00363178376151117,-0.00433154521979127,0.00991440751041415,0.442225194002901,30.0713131921972,0.861444941592641
"tv_time.8",-0.000988397651574658,0.00343289219546775,-0.00772126750043853,0.00574447219728921,0.773441254114462,52.5940052797834,0.978867492597236
"video_time.8",-0.004349763175485,0.00344621257101459,-0.0111087580378326,0.00240923168686262,0.2070450858373,14.0790658369364,0.713590702150925
"videogames_time.8",0.00325652351682471,0.00350792464881256,-0.00362350613608966,0.0101365531697391,0.353359065151203,24.0284164302818,0.799039873271436
"social_activities_time.8",0.00306751091586693,0.00408785764801534,-0.00494993091965213,0.011084952751386,0.453114424109533,30.8117808394482,0.863504954294808
"tv_time.9",-0.0024615960062436,0.00267952732124936,-0.00771692259842058,0.00279373058593339,0.358392884334982,24.3707161347788,0.799039873271436
"video_time.9",0.000442044156432091,0.00270912138059553,-0.00487132492921715,0.00575541324208134,0.870403908442628,59.1874657740987,0.982558223448912
"videogames_time.9",-0.00417816140970442,0.00259267900719741,-0.00926315338700233,0.000906830567593498,0.10724191450788,7.29245018653585,0.620634058428583
"social_activities_time.9",-0.000580536261286082,0.0031269810485556,-0.0067134487818591,0.00555237625928693,0.85273718458415,57.9861285517222,0.982558223448912
"tv_time.10",-0.00108851717086509,0.00282011313826125,-0.00661957313395254,0.00444253879222237,0.699554698875381,47.5697195235259,0.969885155714238
"video_time.10",-0.0022544155761724,0.00286281496126646,-0.00786922214116417,0.00336039098881938,0.431103836198783,29.3150608615172,0.861444941592641
"videogames_time.10",-0.0042030931863706,0.00274317462191233,-0.0095832505085953,0.0011770641358541,0.125649505829588,8.54416639641199,0.639857213621424
"social_activities_time.10",0.00266911087735333,0.00326699904514815,-0.00373841735437171,0.00907663910907837,0.414041810149685,28.1548430901786,0.861444941592641
"tv_time.11",-0.00145180049584569,0.00259197080475007,-0.00653538252191218,0.0036317815302208,0.575470906555728,39.1320216457895,0.899586704500909
"video_time.11",0.00180984120718548,0.00261447607715539,-0.00331787997279499,0.00693756238716596,0.488876652632454,33.2436123790069,0.88649633010685
"videogames_time.11",-0.00202952659173231,0.00250753171198499,-0.00694749986422362,0.00288844668075899,0.418407852485721,28.451733969029,0.861444941592641
"social_activities_time.11",0.00136519620898789,0.00300854793020407,-0.00453541044696544,0.00726580286494121,0.650047216301623,44.2032107085104,0.93059390965285
"tv_time.12",-0.00205733492971992,0.00295344056035088,-0.00784986273019318,0.00373519287075333,0.486149731536196,33.0581817444614,0.88649633010685
"video_time.12",0.000447238291908489,0.00298234994946017,-0.00540198895339476,0.00629646553721174,0.880811608497111,59.8951893778036,0.982558223448912
"videogames_time.12",0.00303872699508983,0.00284572902637017,-0.00254254818584848,0.00862000217602814,0.285744644037704,19.4306357945638,0.756724165060856
"social_activities_time.12",0.000976787108654663,0.00345356037796492,-0.00579661634782054,0.00775019056512987,0.777335950003687,52.8588446002507,0.978867492597236
"tv_time.13",-0.00381939056854129,0.00343902599595388,-0.0105642854987495,0.00292550436166696,0.26688761028603,18.1483574994501,0.756379123027317
"video_time.13",0.000312983182026578,0.00345989540723734,-0.0064728425194314,0.00709880888348455,0.927931487190967,63.0993411289858,0.982558223448912
"videogames_time.13",-0.00720697308607674,0.00348541243421261,-0.0140428448372249,-0.000371101334928551,0.0388055824225572,2.63877960473389,0.390930311812428
"social_activities_time.13",0.00404304730548458,0.00407977131642928,-0.00395852898413004,0.0120446235950992,0.32181927942648,21.8837110010006,0.792408098239021
"tv_time.14",-0.00657020589534753,0.00604002806121346,-0.0184164490048805,0.00527603721418546,0.276839758787551,18.8251035975535,0.756724165060856
"video_time.14",-0.00844680583008392,0.00611048014238322,-0.0204312258607589,0.00353761420059102,0.167037438883216,11.3585458440587,0.698987436557456
"videogames_time.14",0.000256589245274901,0.00619720268299206,-0.0118979187864353,0.0124110972769851,0.966978404821081,65.7545315278335,0.989108951344293
"social_activities_time.14",-0.00204980380638088,0.00720483379750293,-0.0161805680783356,0.0120809604655739,0.77605708358033,52.7718816834625,0.978867492597236
"tv_time.15",-0.000723273538329978,0.00302995096562029,-0.00666588429856725,0.0052193372219073,0.811359321642836,55.1724338717129,0.982558223448912
"video_time.15",0.000360939078379092,0.00306372884260229,-0.00564791987448201,0.00636979803124019,0.906231110021055,61.6237154814318,0.982558223448912
"videogames_time.15",-0.00481656330179413,0.00311253680093205,-0.0109211487867499,0.00128802218316164,0.121926162168431,8.2909790274533,0.637767617496407
"social_activities_time.15",-0.00530845239061283,0.00356318181230829,-0.0122968831668086,0.00167997838558295,0.13645112335305,9.27867638800743,0.647485369328255
"tv_time.16",0.00577613166895093,0.00258785121452752,0.00070061029995341,0.0108516530379484,0.0257368593987797,1.75010643911702,0.318201170748549
"video_time.16",-0.00181474888223367,0.00259563625034506,-0.00690553894806682,0.00327604118359948,0.484546617592545,32.949169996293,0.88649633010685
"videogames_time.16",-0.00688650047872407,0.00265180818225524,-0.0120874598769931,-0.00168554108045499,0.00948364389379763,0.644887784778239,0.229273689763554
"social_activities_time.16",0.000107796928574934,0.00303229475808126,-0.00583940620093363,0.0060550000580835,0.971645436854731,66.0718897061217,0.989743657494568
"tv_time.17",0.00315048656262052,0.00372219826989047,-0.00414980502539213,0.0104507781506332,0.397439646325587,27.0258959501399,0.854855717789763
"video_time.17",-0.00556980883668299,0.00378873939679713,-0.0130006065379629,0.00186098886459694,0.141710941398798,9.63634401511829,0.647485369328255
"videogames_time.17",-0.00518004969822149,0.00384413599839241,-0.0127194959225803,0.00235939652613735,0.177982721281256,12.1028250471254,0.703348008196157
"social_activities_time.17",-0.00188444202735279,0.00438746989538938,-0.0104895208672052,0.00672063681249965,0.667606953656311,45.3972728486291,0.950728227196421
"tv_time.18",-0.00308781610729212,0.00277767082298616,-0.00853562223761288,0.00235999002302864,0.26643461247812,18.1175536485121,0.756379123027317
"video_time.18",-0.0031354692148543,0.00284008181745349,-0.00870568113762711,0.00243474270791851,0.269738143138418,18.3421937334124,0.756379123027317
"videogames_time.18",-0.00410306119425061,0.00271634608375661,-0.0094305919890095,0.00122446960050829,0.131089880880106,8.9141118998472,0.639857213621424
"social_activities_time.18",-0.00112052630927795,0.00322477593942333,-0.00744523332146983,0.00520418070291392,0.728275842776821,49.5227573088238,0.970908715738523
"tv_time.19",0.00735237287985895,0.00373727192867578,2.25421701057875e-05,0.0146822035896121,0.0493003175713752,3.35242159485351,0.416942915013102
"video_time.19",0.000525260318021094,0.00376464582270511,-0.00685825821882384,0.00790877885486603,0.889051255865667,60.4554853988653,0.982558223448912
"videogames_time.19",0.00170544794407967,0.00361817433013176,-0.0053907992181217,0.00880169510628104,0.637443510878846,43.3461587397615,0.922414462179803
"social_activities_time.19",-0.000817087482801997,0.00433984520226205,-0.00932873213863698,0.00769455717303299,0.850681669386217,57.8463535182627,0.982558223448912
"tv_time.20",0.00208791810471653,0.0034333763503821,-0.00464592151339949,0.00882175772283256,0.543182344276656,36.9363994108126,0.899586704500909
"video_time.20",-0.00160324376818648,0.00343703894404751,-0.00834426678707546,0.0051377792507025,0.640942402029349,43.5840833379957,0.922414462179803
"videogames_time.20",-0.00295831711462244,0.00350779405752893,-0.00983811128404156,0.00392147705479667,0.399142191762132,27.141669039825,0.854855717789763
"social_activities_time.20",-0.00567955209835017,0.00402523626837538,-0.0135741994338359,0.00221509523713551,0.158422216627212,10.7727107306504,0.673294420665653
"tv_time.21",-0.00376558355943279,0.00282954959903491,-0.00931514924040994,0.00178398212154436,0.18342201927904,12.4726973109747,0.703348008196157
"video_time.21",-0.00146223397030006,0.00286367783020888,-0.00707873498986964,0.00415426704926952,0.609684303979479,41.4585326706046,0.916900691403885
"videogames_time.21",-0.00146776294208123,0.00273391875450954,-0.00682976885983603,0.00389424297567356,0.591423092996609,40.2167703237694,0.908853566638857
"social_activities_time.21",0.00310008185580649,0.00329828522857251,-0.00336881005434166,0.00956897376595463,0.347391935261702,23.6226515977957,0.794038709169604
"tv_time.22",0.000907072524099978,0.00298221658155084,-0.00494191729387682,0.00675606234207678,0.761040940837823,51.750783976972,0.978121254312945
